Title,PMID,Abstract,Deep Learning,text
Explaining Black Box Drug Target Prediction Through Model Agnostic Counterfactual Samples.,35820003,"Many high-performance DTA deep learning models have been proposed, but they are mostly black-box and thus lack human interpretability. Explainable AI (XAI) can make DTA models more trustworthy, and allows to distill biological knowledge from the models. Counterfactual explanation is one popular approach to explaining the behaviour of a deep neural network, which works by systematically answering the question ""How would the model output change if the inputs were changed in this way?"". We propose a multi-agent reinforcement learning framework, Multi-Agent Counterfactual Drug-target binding Affinity (MACDA), to generate counterfactual explanations for the drug-protein complex. Our proposed framework provides human-interpretable counterfactual instances while optimizing both the input drug and target for counterfactual generation at the same time. We benchmark the proposed MACDA framework using the Davis and PDBBind dataset and find that our framework produces more parsimonious explanations with no loss in explanation validity, as measured by encoding similarity. We then present a case study involving ABL1 and Nilotinib to demonstrate how MACDA can explain the behaviour of a DTA model in the underlying substructure interaction between inputs in its prediction, revealing mechanisms that align with prior domain knowledge.",1,"Explaining Black Box Drug Target Prediction Through Model Agnostic Counterfactual Samples. Many high-performance DTA deep learning models have been proposed, but they are mostly black-box and thus lack human interpretability. Explainable AI (XAI) can make DTA models more trustworthy, and allows to distill biological knowledge from the models. Counterfactual explanation is one popular approach to explaining the behaviour of a deep neural network, which works by systematically answering the question ""How would the model output change if the inputs were changed in this way?"". We propose a multi-agent reinforcement learning framework, Multi-Agent Counterfactual Drug-target binding Affinity (MACDA), to generate counterfactual explanations for the drug-protein complex. Our proposed framework provides human-interpretable counterfactual instances while optimizing both the input drug and target for counterfactual generation at the same time. We benchmark the proposed MACDA framework using the Davis and PDBBind dataset and find that our framework produces more parsimonious explanations with no loss in explanation validity, as measured by encoding similarity. We then present a case study involving ABL1 and Nilotinib to demonstrate how MACDA can explain the behaviour of a DTA model in the underlying substructure interaction between inputs in its prediction, revealing mechanisms that align with prior domain knowledge."
Prediction of drug-target interactions through multi-task learning.,36316405,"Identifying the binding between the target proteins and molecules is essential in drug discovery. The multi-task learning method has been introduced to facilitate knowledge sharing among tasks when the amount of information for each task is small. However, multi-task learning sometimes worsens the overall performance or generates a trade-off between individual task's performance. In this study, we propose a general multi-task learning scheme that not only increases the average performance but also minimizes individual performance degradation, through group selection and knowledge distillation. The groups are selected on the basis of chemical similarity between ligand sets of targets, and the similar targets in the same groups are trained together. During training, we apply knowledge distillation with teacher annealing. The multi-task learning models are guided by the predictions of the single-task learning models. This method results in higher average performance than that from single-task learning and classic multi-task learning. Further analysis reveals that multi-task learning is particularly effective for low performance tasks, and knowledge distillation helps the model avoid the degradation in individual task performance in multi-task learning.",1,"Prediction of drug-target interactions through multi-task learning. Identifying the binding between the target proteins and molecules is essential in drug discovery. The multi-task learning method has been introduced to facilitate knowledge sharing among tasks when the amount of information for each task is small. However, multi-task learning sometimes worsens the overall performance or generates a trade-off between individual task's performance. In this study, we propose a general multi-task learning scheme that not only increases the average performance but also minimizes individual performance degradation, through group selection and knowledge distillation. The groups are selected on the basis of chemical similarity between ligand sets of targets, and the similar targets in the same groups are trained together. During training, we apply knowledge distillation with teacher annealing. The multi-task learning models are guided by the predictions of the single-task learning models. This method results in higher average performance than that from single-task learning and classic multi-task learning. Further analysis reveals that multi-task learning is particularly effective for low performance tasks, and knowledge distillation helps the model avoid the degradation in individual task performance in multi-task learning."
DEDTI versus IEDTI: efficient and predictive models of drug-target interactions.,37286613,"Drug repurposing is an active area of research that aims to decrease the cost and time of drug development. Most of those efforts are primarily concerned with the prediction of drug-target interactions. Many evaluation models, from matrix factorization to more cutting-edge deep neural networks, have come to the scene to identify such relations. Some predictive models are devoted to the prediction's quality, and others are devoted to the efficiency of the predictive models, e.g., embedding generation. In this work, we propose new representations of drugs and targets useful for more prediction and analysis. Using these representations, we propose two inductive, deep network models of IEDTI and DEDTI for drug-target interaction prediction. Both of them use the accumulation of new representations. The IEDTI takes advantage of triplet and maps the input accumulated similarity features into meaningful embedding corresponding vectors. Then, it applies a deep predictive model to each drug-target pair to evaluate their interaction. The DEDTI directly uses the accumulated similarity feature vectors of drugs and targets and applies a predictive model on each pair to identify their interactions. We have done a comprehensive simulation on the DTINet dataset as well as gold standard datasets, and the results show that DEDTI outperforms IEDTI and the state-of-the-art models. In addition, we conduct a docking study on new predicted interactions between two drug-target pairs, and the results confirm acceptable drug-target binding affinity between both predicted pairs.",1,"DEDTI versus IEDTI: efficient and predictive models of drug-target interactions. Drug repurposing is an active area of research that aims to decrease the cost and time of drug development. Most of those efforts are primarily concerned with the prediction of drug-target interactions. Many evaluation models, from matrix factorization to more cutting-edge deep neural networks, have come to the scene to identify such relations. Some predictive models are devoted to the prediction's quality, and others are devoted to the efficiency of the predictive models, e.g., embedding generation. In this work, we propose new representations of drugs and targets useful for more prediction and analysis. Using these representations, we propose two inductive, deep network models of IEDTI and DEDTI for drug-target interaction prediction. Both of them use the accumulation of new representations. The IEDTI takes advantage of triplet and maps the input accumulated similarity features into meaningful embedding corresponding vectors. Then, it applies a deep predictive model to each drug-target pair to evaluate their interaction. The DEDTI directly uses the accumulated similarity feature vectors of drugs and targets and applies a predictive model on each pair to identify their interactions. We have done a comprehensive simulation on the DTINet dataset as well as gold standard datasets, and the results show that DEDTI outperforms IEDTI and the state-of-the-art models. In addition, we conduct a docking study on new predicted interactions between two drug-target pairs, and the results confirm acceptable drug-target binding affinity between both predicted pairs."
MurC ligase of multi-drug resistant Salmonella Typhi can be inhibited by novel Curcumin derivative: Evidence from molecular docking and dynamics simulations.,35985453,"Emerging multi-drug resistance in recent Salmonella Typhi isolates, causative agent of enteric Typhoid fever, compelled us to investigate alternative therapeutic strategies. The present study encompassed virtual screening, ADMET screening as well as antibacterial activity prediction to shortlist potent lead molecules whose binding affinities (BAs) were checked against major druggable S. Typhi targets. BA profile revealed a deoxy-tetradeutero- curcumin derivative to be novel bioactive compound having high BA towards UDP-N-acetylmuramate-L-alanine ligase (MurC) protein involved in peptidoglycan synthesis. Molecular docking indicated that our lead {Binding energy (BE)= -8.00 ± 0.02 kcal/mol}could competitively bind to MurC with respect to its natural ligand ATP (BE= -7.65 ± 0.19 kcal/mol). The lead also possessed superior binding and inhibition profile against MurC than other commercial antibiotics. This BE was contributed by Hydrogen (H-) bonds and numerous non-canonical interactions with the evolutionary conserved active-site residues. From molecular docking and coarse-grained dynamics simulations, it was inferred that the novel curcumin derivative was predicted to be potential competitive inhibitor of ATP for MurC-catalytic domain having low relative RMSF (0.59 Å) to inhibit MurC-induced peptidoglycan biosynthesis. The inferences drawn from the study can open new portals for designing efficient therapeutic strategies against S. Typhi.",0,"MurC ligase of multi-drug resistant Salmonella Typhi can be inhibited by novel Curcumin derivative: Evidence from molecular docking and dynamics simulations. Emerging multi-drug resistance in recent Salmonella Typhi isolates, causative agent of enteric Typhoid fever, compelled us to investigate alternative therapeutic strategies. The present study encompassed virtual screening, ADMET screening as well as antibacterial activity prediction to shortlist potent lead molecules whose binding affinities (BAs) were checked against major druggable S. Typhi targets. BA profile revealed a deoxy-tetradeutero- curcumin derivative to be novel bioactive compound having high BA towards UDP-N-acetylmuramate-L-alanine ligase (MurC) protein involved in peptidoglycan synthesis. Molecular docking indicated that our lead {Binding energy (BE)= -8.00 ± 0.02 kcal/mol}could competitively bind to MurC with respect to its natural ligand ATP (BE= -7.65 ± 0.19 kcal/mol). The lead also possessed superior binding and inhibition profile against MurC than other commercial antibiotics. This BE was contributed by Hydrogen (H-) bonds and numerous non-canonical interactions with the evolutionary conserved active-site residues. From molecular docking and coarse-grained dynamics simulations, it was inferred that the novel curcumin derivative was predicted to be potential competitive inhibitor of ATP for MurC-catalytic domain having low relative RMSF (0.59 Å) to inhibit MurC-induced peptidoglycan biosynthesis. The inferences drawn from the study can open new portals for designing efficient therapeutic strategies against S. Typhi."
Drug-target interaction prediction using semi-bipartite graph model and deep learning.,32631230,"Identifying drug-target interaction is a key element in drug discovery. In silico prediction of drug-target interaction can speed up the process of identifying unknown interactions between drugs and target proteins. In recent studies, handcrafted features, similarity metrics and machine learning methods have been proposed for predicting drug-target interactions. However, these methods cannot fully learn the underlying relations between drugs and targets. In this paper, we propose anew framework for drug-target interaction prediction that learns latent features from drug-target interaction network. We present a framework to utilize the network topology and identify interacting and non-interacting drug-target pairs. We model the problem as a semi-bipartite graph in which we are able to use drug-drug and protein-protein similarity in a drug-protein network. We have then used a graph labeling method for vertex ordering in our graph embedding process. Finally, we employed deep neural network to learn the complex pattern of interacting pairs from embedded graphs. We show our approach is able to learn sophisticated drug-target topological features and outperforms other state-of-the-art approaches. The proposed learning model on semi-bipartite graph model, can integrate drug-drug and protein-protein similarities which are semantically different than drug-protein information in a drug-target interaction network. We show our model can determine interaction likelihood for each drug-target pair and outperform other heuristics.",1,"Drug-target interaction prediction using semi-bipartite graph model and deep learning. Identifying drug-target interaction is a key element in drug discovery. In silico prediction of drug-target interaction can speed up the process of identifying unknown interactions between drugs and target proteins. In recent studies, handcrafted features, similarity metrics and machine learning methods have been proposed for predicting drug-target interactions. However, these methods cannot fully learn the underlying relations between drugs and targets. In this paper, we propose anew framework for drug-target interaction prediction that learns latent features from drug-target interaction network. We present a framework to utilize the network topology and identify interacting and non-interacting drug-target pairs. We model the problem as a semi-bipartite graph in which we are able to use drug-drug and protein-protein similarity in a drug-protein network. We have then used a graph labeling method for vertex ordering in our graph embedding process. Finally, we employed deep neural network to learn the complex pattern of interacting pairs from embedded graphs. We show our approach is able to learn sophisticated drug-target topological features and outperforms other state-of-the-art approaches. The proposed learning model on semi-bipartite graph model, can integrate drug-drug and protein-protein similarities which are semantically different than drug-protein information in a drug-target interaction network. We show our model can determine interaction likelihood for each drug-target pair and outperform other heuristics."
Fibroblast Growth Factor 11 Enables Tumor Cell Immune Escape by Promoting T Cell Exhaustion and Predicts Poor Prognosis in Patients with Lung Adenocarcinoma.,37250453,"Fibroblast growth factor 11 (FGF11) accelerates tumor proliferation in a variety of cancer types. This study aimed to examine the link between FGF11 and the prognosis of lung adenocarcinoma. FGF11 was searched in the Tumor Cancer Genome Atlas (TCGA) and ImmProt databases. The link between FGF11 and lung cancer clinical data was investigated using TCGA and Kaplan-Meier (KM)-plotter databases, and we developed a prediction model. Putative mechanisms of action were investigated using Gene Ontology (GO) and KEGG enrichment analyses. The GeneMANIA and STRING databases were used to search for genes that interact with FGF11, and the Tumor Immune Estimation Resource (TIMER) database was used to discover connections between FGF11 and immune cells, as well as any correlations with immune-related genes. We found that FGF11 expression was higher in the lung adenocarcinoma tissue than in the paracancerous tissue, and patients with high FGF11 expression had a lower overall survival, progression-free survival, and disease specific survival rate than those with low FGF11 expression. The expression of FGF11 was inversely linked to six types of infiltrating immune cells in the TIMER database and was associated with EGFR, VEGFA, BRAF, and MET expressions. The FGF11 gene is negatively correlated with the expression of most immune cells, mainly with various functional T cells including Th1, Th1-like, Treg, and Resting Treg characterization genes. These results indicate that FGF11 has the potential to be a new lung adenocarcinoma biomarker. It increases tumor cell immune escape by boosting T cell exhaustion in the tumor microenvironment, contributing to the poor prognosis of the patients with lung adenocarcinoma. These results provide incentive to further research FGF11 as a possible biomarker and drug target for patients with lung adenocarcinoma.",0,"Fibroblast Growth Factor 11 Enables Tumor Cell Immune Escape by Promoting T Cell Exhaustion and Predicts Poor Prognosis in Patients with Lung Adenocarcinoma. Fibroblast growth factor 11 (FGF11) accelerates tumor proliferation in a variety of cancer types. This study aimed to examine the link between FGF11 and the prognosis of lung adenocarcinoma. FGF11 was searched in the Tumor Cancer Genome Atlas (TCGA) and ImmProt databases. The link between FGF11 and lung cancer clinical data was investigated using TCGA and Kaplan-Meier (KM)-plotter databases, and we developed a prediction model. Putative mechanisms of action were investigated using Gene Ontology (GO) and KEGG enrichment analyses. The GeneMANIA and STRING databases were used to search for genes that interact with FGF11, and the Tumor Immune Estimation Resource (TIMER) database was used to discover connections between FGF11 and immune cells, as well as any correlations with immune-related genes. We found that FGF11 expression was higher in the lung adenocarcinoma tissue than in the paracancerous tissue, and patients with high FGF11 expression had a lower overall survival, progression-free survival, and disease specific survival rate than those with low FGF11 expression. The expression of FGF11 was inversely linked to six types of infiltrating immune cells in the TIMER database and was associated with EGFR, VEGFA, BRAF, and MET expressions. The FGF11 gene is negatively correlated with the expression of most immune cells, mainly with various functional T cells including Th1, Th1-like, Treg, and Resting Treg characterization genes. These results indicate that FGF11 has the potential to be a new lung adenocarcinoma biomarker. It increases tumor cell immune escape by boosting T cell exhaustion in the tumor microenvironment, contributing to the poor prognosis of the patients with lung adenocarcinoma. These results provide incentive to further research FGF11 as a possible biomarker and drug target for patients with lung adenocarcinoma."
SAG-DTA: Prediction of Drug-Target Affinity Using Self-Attention Graph Network.,34445696,"The prediction of drug-target affinity (DTA) is a crucial step for drug screening and discovery. In this study, a new graph-based prediction model named SAG-DTA (self-attention graph drug-target affinity) was implemented. Unlike previous graph-based methods, the proposed model utilized self-attention mechanisms on the drug molecular graph to obtain effective representations of drugs for DTA prediction. Features of each atom node in the molecular graph were weighted using an attention score before being aggregated as molecule representation. Various self-attention scoring methods were compared in this study. In addition, two pooing architectures, namely, global and hierarchical architectures, were presented and evaluated on benchmark datasets. Results of comparative experiments on both regression and binary classification tasks showed that SAG-DTA was superior to previous sequence-based or other graph-based methods and exhibited good generalization ability.",1,"SAG-DTA: Prediction of Drug-Target Affinity Using Self-Attention Graph Network. The prediction of drug-target affinity (DTA) is a crucial step for drug screening and discovery. In this study, a new graph-based prediction model named SAG-DTA (self-attention graph drug-target affinity) was implemented. Unlike previous graph-based methods, the proposed model utilized self-attention mechanisms on the drug molecular graph to obtain effective representations of drugs for DTA prediction. Features of each atom node in the molecular graph were weighted using an attention score before being aggregated as molecule representation. Various self-attention scoring methods were compared in this study. In addition, two pooing architectures, namely, global and hierarchical architectures, were presented and evaluated on benchmark datasets. Results of comparative experiments on both regression and binary classification tasks showed that SAG-DTA was superior to previous sequence-based or other graph-based methods and exhibited good generalization ability."
Interpretable deep learning translation of GWAS and multi-omics findings to identify pathobiology and drug repurposing in Alzheimer's disease.,36450252,"Translating human genetic findings (genome-wide association studies [GWAS]) to pathobiology and therapeutic discovery remains a major challenge for Alzheimer's disease (AD). We present a network topology-based deep learning framework to identify disease-associated genes (NETTAG). We leverage non-coding GWAS loci effects on quantitative trait loci, enhancers and CpG islands, promoter regions, open chromatin, and promoter flanking regions under the protein-protein interactome. Via NETTAG, we identified 156 AD-risk genes enriched in druggable targets. Combining network-based prediction and retrospective case-control observations with 10 million individuals, we identified that usage of four drugs (ibuprofen, gemfibrozil, cholecalciferol, and ceftriaxone) is associated with reduced likelihood of AD incidence. Gemfibrozil (an approved lipid regulator) is significantly associated with 43% reduced risk of AD compared with simvastatin using an active-comparator design (95% confidence interval 0.51-0.63, p < 0.0001). In summary, NETTAG offers a deep learning methodology that utilizes GWAS and multi-genomic findings to identify pathobiology and drug repurposing in AD.",1,"Interpretable deep learning translation of GWAS and multi-omics findings to identify pathobiology and drug repurposing in Alzheimer's disease. Translating human genetic findings (genome-wide association studies [GWAS]) to pathobiology and therapeutic discovery remains a major challenge for Alzheimer's disease (AD). We present a network topology-based deep learning framework to identify disease-associated genes (NETTAG). We leverage non-coding GWAS loci effects on quantitative trait loci, enhancers and CpG islands, promoter regions, open chromatin, and promoter flanking regions under the protein-protein interactome. Via NETTAG, we identified 156 AD-risk genes enriched in druggable targets. Combining network-based prediction and retrospective case-control observations with 10 million individuals, we identified that usage of four drugs (ibuprofen, gemfibrozil, cholecalciferol, and ceftriaxone) is associated with reduced likelihood of AD incidence. Gemfibrozil (an approved lipid regulator) is significantly associated with 43% reduced risk of AD compared with simvastatin using an active-comparator design (95% confidence interval 0.51-0.63, p < 0.0001). In summary, NETTAG offers a deep learning methodology that utilizes GWAS and multi-genomic findings to identify pathobiology and drug repurposing in AD."
Feiyanning Formula Induces Apoptosis of Lung Adenocarcinoma Cells by Activating the Mitochondrial Pathway.,34277435,"Feiyanning formula (FYN) is a traditional Chinese medicine (TCM) prescription used for more than 20 years in the treatment of lung cancer. FYN is composed of Astragalus membranaceus, Polygonatum sibiricum, Atractylodes macrocephala, Cornus officinalis, Paris polyphylla, and Polistes olivaceous, etc. All of them have been proved to have anti-tumor effect. In this study, we used the TCM network pharmacological analysis to perform the collection of compound and disease target, the prediction of compound target and biological signal and the Kyoto Encyclopedia of Genes and Genomes (KEGG) pathway enrichment analysis. It was found that the activation of mitochondrial pathway might be the molecular mechanism of the anti-lung cancer effect of FYN. The experimental results showed that FYN had an inhibitory effect on the growth of lung cancer cells in a dose-dependent and time-dependent manner. Moreover, FYN induced G2/M cell cycle arrest and apoptotic cell death as early as 6 h after treatment. In addition, FYN significantly induced mitochondrial membrane depolarization and increased calreticulin expression. Metabolomics analysis showed the increase of ATP utilization (assessed by a significant increase of the AMP/ATP and ADP/ATP ratio, necessary for apoptosis induction) and decrease of polyamines (that reflects growth potential). Taken together, our study suggested that FYN induced apoptosis of lung adenocarcinoma cells by promoting metabolism and changing the mitochondrial membrane potential, further supporting the validity of network pharmacological prediction.",0,"Feiyanning Formula Induces Apoptosis of Lung Adenocarcinoma Cells by Activating the Mitochondrial Pathway. Feiyanning formula (FYN) is a traditional Chinese medicine (TCM) prescription used for more than 20 years in the treatment of lung cancer. FYN is composed of Astragalus membranaceus, Polygonatum sibiricum, Atractylodes macrocephala, Cornus officinalis, Paris polyphylla, and Polistes olivaceous, etc. All of them have been proved to have anti-tumor effect. In this study, we used the TCM network pharmacological analysis to perform the collection of compound and disease target, the prediction of compound target and biological signal and the Kyoto Encyclopedia of Genes and Genomes (KEGG) pathway enrichment analysis. It was found that the activation of mitochondrial pathway might be the molecular mechanism of the anti-lung cancer effect of FYN. The experimental results showed that FYN had an inhibitory effect on the growth of lung cancer cells in a dose-dependent and time-dependent manner. Moreover, FYN induced G2/M cell cycle arrest and apoptotic cell death as early as 6 h after treatment. In addition, FYN significantly induced mitochondrial membrane depolarization and increased calreticulin expression. Metabolomics analysis showed the increase of ATP utilization (assessed by a significant increase of the AMP/ATP and ADP/ATP ratio, necessary for apoptosis induction) and decrease of polyamines (that reflects growth potential). Taken together, our study suggested that FYN induced apoptosis of lung adenocarcinoma cells by promoting metabolism and changing the mitochondrial membrane potential, further supporting the validity of network pharmacological prediction."
Protein-ligand binding affinity prediction with edge awareness and supervised attention.,36691617,"Accurate prediction of protein-ligand binding affinity is crucial in structure-based drug design but remains some challenges even with recent advances in deep learning: (1) Existing methods neglect the edge information in protein and ligand structure data; (2) current attention mechanisms struggle to capture true binding interactions in the small dataset. Herein, we proposed SEGSA_DTA, a SuperEdge Graph convolution-based and Supervised Attention-based Drug-Target Affinity prediction method, where the super edge graph convolution can comprehensively utilize node and edge information and the multi-supervised attention module can efficiently learn the attention distribution consistent with real protein-ligand interactions. Results on the multiple datasets show that SEGSA_DTA outperforms current state-of-the-art methods. We also applied SEGSA_DTA in repurposing FDA-approved drugs to identify potential coronavirus disease 2019 (COVID-19) treatments. Besides, by using SHapley Additive exPlanations (SHAP), we found that SEGSA_DTA is interpretable and further provides a new quantitative analytical solution for structure-based lead optimization.",1,"Protein-ligand binding affinity prediction with edge awareness and supervised attention. Accurate prediction of protein-ligand binding affinity is crucial in structure-based drug design but remains some challenges even with recent advances in deep learning: (1) Existing methods neglect the edge information in protein and ligand structure data; (2) current attention mechanisms struggle to capture true binding interactions in the small dataset. Herein, we proposed SEGSA_DTA, a SuperEdge Graph convolution-based and Supervised Attention-based Drug-Target Affinity prediction method, where the super edge graph convolution can comprehensively utilize node and edge information and the multi-supervised attention module can efficiently learn the attention distribution consistent with real protein-ligand interactions. Results on the multiple datasets show that SEGSA_DTA outperforms current state-of-the-art methods. We also applied SEGSA_DTA in repurposing FDA-approved drugs to identify potential coronavirus disease 2019 (COVID-19) treatments. Besides, by using SHapley Additive exPlanations (SHAP), we found that SEGSA_DTA is interpretable and further provides a new quantitative analytical solution for structure-based lead optimization."
PeMtb: A Database of MHC Antigenic Peptide of Mycobacterium tuberculosis.,28914198,"Background: For design of a subunit vaccine for tuberculosis, identification of antigenic Tcell epitope is of utmost importance. Several MHC prediction server are available that can accurately predict antigenic peptide of variable lengths. However, peptides predicted from one server not necessarily are predicted form another server, thus creating a confusing situation for scientists to choose a best epitope.Method: Keeping the above problem in mind, we developed a comprehensive database of peptides of Mycobacterial proteins. Each protein was taken from PubMed and was run through different MHC prediction servers, with the results being compiled into one database.Results: For each protein, PeMtb generates a set of three different mers of variable lengths (12 mer or 13-mer) based on their ranking; with each mer being predicted for a plethora of MHC alleles. Researcher can choose the peptide (mers) that gives best binding affinity from most of the servers.Conclusion: The database relieves the investigators of the painstaking task of searching various MHC prediction servers for the right epitope (T-cell epitope) for a particular Mycobacterial antigen. We trust and anticipate that PeMtb will be a practical platform for trial and computational analyses of antigenic peptides for Mycobacterium tuberculosis. All the resources and information can be accessed by PeMtb home page www.pemtb-amu.org.",0,"PeMtb: A Database of MHC Antigenic Peptide of Mycobacterium tuberculosis. Background: For design of a subunit vaccine for tuberculosis, identification of antigenic Tcell epitope is of utmost importance. Several MHC prediction server are available that can accurately predict antigenic peptide of variable lengths. However, peptides predicted from one server not necessarily are predicted form another server, thus creating a confusing situation for scientists to choose a best epitope.Method: Keeping the above problem in mind, we developed a comprehensive database of peptides of Mycobacterial proteins. Each protein was taken from PubMed and was run through different MHC prediction servers, with the results being compiled into one database.Results: For each protein, PeMtb generates a set of three different mers of variable lengths (12 mer or 13-mer) based on their ranking; with each mer being predicted for a plethora of MHC alleles. Researcher can choose the peptide (mers) that gives best binding affinity from most of the servers.Conclusion: The database relieves the investigators of the painstaking task of searching various MHC prediction servers for the right epitope (T-cell epitope) for a particular Mycobacterial antigen. We trust and anticipate that PeMtb will be a practical platform for trial and computational analyses of antigenic peptides for Mycobacterium tuberculosis. All the resources and information can be accessed by PeMtb home page www.pemtb-amu.org."
PPDTS: Predicting potential drug-target interactions based on network similarity.,34783172,"Identification of drug-target interactions (DTIs) has great practical importance in the drug discovery process for known diseases. However, only a small proportion of DTIs in these databases has been verified experimentally, and the computational methods for predicting the interactions remain challenging. As a result, some effective computational models have become increasingly popular for predicting DTIs. In this work, the authors predict potential DTIs from the local structure of drug-target associations' network, which is different from the traditional global network similarity methods based on structure and ligand. A novel method called PPDTS is proposed to predict DTIs. First, according to the DTIs' network local structure, the known DTIs are converted into a binary network. Second, the Resource Allocation algorithm is used to obtain a drug-drug similarity network and a target-target similarity network. Third, a Collaborative Filtering algorithm is used with the known drug-target topology information to obtain similarity scores. Fourth, the linear combination of drug-target similarity model and the target-drug similarity model are innovatively proposed to obtain the final prediction results. Finally, the experimental performance of PPDTS has proved to be higher than that of the previously mentioned four popular network-based similarity methods, which is validated in different experimental datasets. Some of the predicted results can be supported in UniProt and DrugBank databases.",0,"PPDTS: Predicting potential drug-target interactions based on network similarity. Identification of drug-target interactions (DTIs) has great practical importance in the drug discovery process for known diseases. However, only a small proportion of DTIs in these databases has been verified experimentally, and the computational methods for predicting the interactions remain challenging. As a result, some effective computational models have become increasingly popular for predicting DTIs. In this work, the authors predict potential DTIs from the local structure of drug-target associations' network, which is different from the traditional global network similarity methods based on structure and ligand. A novel method called PPDTS is proposed to predict DTIs. First, according to the DTIs' network local structure, the known DTIs are converted into a binary network. Second, the Resource Allocation algorithm is used to obtain a drug-drug similarity network and a target-target similarity network. Third, a Collaborative Filtering algorithm is used with the known drug-target topology information to obtain similarity scores. Fourth, the linear combination of drug-target similarity model and the target-drug similarity model are innovatively proposed to obtain the final prediction results. Finally, the experimental performance of PPDTS has proved to be higher than that of the previously mentioned four popular network-based similarity methods, which is validated in different experimental datasets. Some of the predicted results can be supported in UniProt and DrugBank databases."
Toxicity prediction using target,37061207,"In silico methods are essential to the safety evaluation of chemicals. Computational risk assessment offers several approaches, with data science and knowledge-based methods becoming an increasingly important sub-group. One of the substantial attributes of data science is that it allows using existing data to find correlations, build strong hypotheses, and create new, valuable knowledge that may help to reduce the number of resource intensive experiments. In choosing a suitable method for toxicity prediction, the available data and desired toxicity endpoint are two essential factors to consider. The complexity of the endpoint can impact the success rate of the in silico models. For highly complex endpoints such as hepatotoxicity, it can be beneficial to decipher the toxic event from a more systemic point of view. We propose a data science-based modelling pipeline that uses compounds` connections to tissue-specific biological targets, interactome, and biological pathways as descriptors of compounds. Models trained on different combinations of the collected, compound-target, compound-interactor, and compound-pathway profiles, were used to predict the hepatotoxicity of drug-like compounds. Several tree-based models were trained, utilizing separate and combined target, interactome and pathway level variables. The model using combined descriptors of all levels and the random forest algorithm was further optimized. Descriptor importance for model performance was addressed and examined for a biological explanation to define which targets or pathways can have a crucial role in toxicity. Descriptors connected to cytochromes P450 enzymes, heme degradation and biological oxidation received high weights. Furthermore, the involvement of other, less discussed processes in connection with toxicity, such as the involvement of RHO GTPase effectors in hepatotoxicity, were marked as fundamental. The optimized combined model using only the selected descriptors yielded the best performance with an accuracy of 0.766. The same dataset using classical Morgan fingerprints for compound representation yielded models with similar performance measures, as well as the combination of systems biology-based descriptors and Morgan fingerprints. Consequently, adding the structural information of compounds did not enhance the predictive value of the models. The developed systems biology-based pipeline comprises a valuable tool in predicting toxicity, while providing novel insights about the possible mechanisms of the unwanted events.",0,"Toxicity prediction using target In silico methods are essential to the safety evaluation of chemicals. Computational risk assessment offers several approaches, with data science and knowledge-based methods becoming an increasingly important sub-group. One of the substantial attributes of data science is that it allows using existing data to find correlations, build strong hypotheses, and create new, valuable knowledge that may help to reduce the number of resource intensive experiments. In choosing a suitable method for toxicity prediction, the available data and desired toxicity endpoint are two essential factors to consider. The complexity of the endpoint can impact the success rate of the in silico models. For highly complex endpoints such as hepatotoxicity, it can be beneficial to decipher the toxic event from a more systemic point of view. We propose a data science-based modelling pipeline that uses compounds` connections to tissue-specific biological targets, interactome, and biological pathways as descriptors of compounds. Models trained on different combinations of the collected, compound-target, compound-interactor, and compound-pathway profiles, were used to predict the hepatotoxicity of drug-like compounds. Several tree-based models were trained, utilizing separate and combined target, interactome and pathway level variables. The model using combined descriptors of all levels and the random forest algorithm was further optimized. Descriptor importance for model performance was addressed and examined for a biological explanation to define which targets or pathways can have a crucial role in toxicity. Descriptors connected to cytochromes P450 enzymes, heme degradation and biological oxidation received high weights. Furthermore, the involvement of other, less discussed processes in connection with toxicity, such as the involvement of RHO GTPase effectors in hepatotoxicity, were marked as fundamental. The optimized combined model using only the selected descriptors yielded the best performance with an accuracy of 0.766. The same dataset using classical Morgan fingerprints for compound representation yielded models with similar performance measures, as well as the combination of systems biology-based descriptors and Morgan fingerprints. Consequently, adding the structural information of compounds did not enhance the predictive value of the models. The developed systems biology-based pipeline comprises a valuable tool in predicting toxicity, while providing novel insights about the possible mechanisms of the unwanted events."
