PMID,text,Experimental
34555547,"Systematic analysis of chemical-protein interactions from zebrafish embryo by proteome-wide thermal shift assay, bridging the gap between molecular interactions and toxicity pathways.. The molecular interaction between chemicals and proteins often promotes alteration of cellular function. One of the challenges of the toxicology is to predict the impact of exposure to chemicals. Assessing the impact of exposure implies to understand their mechanism of actions starting
from identification of specific protein targets of the interaction. Current methods can mainly predict effects of characterized chemicals with knowledge of its targets, and mechanism of actions. Here, we show that proteome-wide thermal shift methods can identify chemical-protein interactions and the
protein targets from bioactive chemicals. We analyzed the identified targets from a soluble proteome extracted from zebrafish embryo, that is a model system for toxicology. To evaluate the utility to predict mechanism of actions, we discussed the applicability in four cases: single chemicals,
chemical mixtures, novel chemicals, and novel drugs. Our results showed that this methodology could identify the protein targets, discriminate between protein increasing and decreasing in solubility, and offering additional data to complement the map of intertwined mechanism of actions. We
anticipate that the proteome integral solubility alteration (PISA) assay, as it is defined here for the unbiased identification of protein targets of chemicals could bridge the gap between molecular interactions and toxicity pathways. SIGNIFICANCE: One of the challenges of the environmental
toxicology is to predict the impact of exposure to chemicals on environment and human health. Our phenotype should be explained by our genotype and the environmental exposure. Genomic methodologies can offer a deep analysis of human genome that alone cannot explain our risks of disease. We are
starting to understand the key role of exposure to chemicals on our health and risks of disease. Here, we present a proteomic-based method for the identification of soluble proteins interacting with chemicals in zebrafish embryo and discuss the opportunities to complement the map of toxicity pathway
perturbations. We anticipate that this PISA assay could bridge the gap between molecular interactions and toxicity pathways.",1
35362839,"Design of an Epitope-Based Peptide Vaccine Against the Major Allergen Amb a 11 Using Immunoinformatic Approaches.. Allergic diseases are a socially significant problem of global importance. The number of people suffering from pollen allergies has increased dramatically in recent decades. Pollen allergies affect up to 30% of the world population. Pollen of the common ragweed (Ambrosia artemisiifolia L.)
is one of the most aggressive allergens in the world. We have used a series of immunoinformatics approaches to design an effective epitope-based vaccine, which might induce a competent immunity against a major allergen Amb a 11. CD8+ and CD4+ T-cell epitopes and their corresponding MHC restricted
alleles were identified by prediction tools provided by immune epitope database (IEDB). Among T-cell epitopes, MHC class I peptide (GLMEPAFTYV) and MHC class II peptide (LVCFSFSLVLILGLV) were identified as most suitable. From all predicted B-cell epitopes, only one epitope (GKLVKFSEQQLVDC)
containing sequence from the conserved region was chosen for next processing. Selected epitopes have been validated by molecular docking analysis. These epitopes showed a very strong binding affinity to MHC I molecule and MHC II molecule with binding energy scores - 729.3 and - 725.0 kcal/mole
respectively. Performed experimental validation showed that only the MHC class II peptide (LVCFSFSLVLILGLV) can stimulate T cells from ragweed allergic patients and IgE antibodies specific to the ragweed pollen do not recognize this epitope. Therefore, this peptide could be potentially used as a
vaccine against the major allergen Amb a 11. The B-cell epitope GKLVKFSEQQLVDC forms a stable complex with the IgE molecule (energy weighted score - 695,0 kcal/mole). Tested sera from patients with ragweed allergy showed that the ragweed specific IgE antibodies can bind to the identified B-cell
epitope. Population coverage analysis was performed for CD8+ and CD4+ T-cell epitopes. It was predicted that CD4+ T-cell epitope (LVCFSFSLVLILGLV) covers 90.56% of the population of Europe and 99.36% of the world population. CD8+ T-cell epitope (GLMEPAFTYV) has a population coverage of 77.37% for
Europe and 71.35% for all the world.",1
35860733,"Network Pharmacology-Based Prediction and Pharmacological Validation of Effects of Astragali Radix on Acetaminophen-Induced Liver Injury.. Astragali Radix (AR) has been widely used in traditional Chinese medicine prescriptions for acute and chronic liver injury. However, little is known about the effects of AR on acetaminophen (APAP)-induced liver injury (ALI). In the current study, a network pharmacology-based approach was
applied to characterize the action mechanism of AR on ALI. All compounds of AR were obtained from the corresponding databases, and active compounds were selected according to its oral bioavailability and drug-likeness index. The potential genes of AR were obtained from the Traditional Chinese
Medicine Systems Pharmacology Database and Analysis Platform (TCMSP), and the Bioinformatics Analysis Tool for Molecular Mechanism of Traditional Chinese Medicine (BATMAN-TCM) and PubChem, whereas the potential genes related to ALI were obtained from Online databases (GeneCards and Online Mendelian
Inheritance in Man) and Gene Expression Omnibus profiles. The enriched processes, pathways, and target genes of the diseases were analyzed by referring to the Search Tool for the Retrieval of Interacting Genes/Proteins database. A network constructed through Cytoscape software was used to identify
the target proteins that connected the compounds in AR with the differential genes of ALI. Subsequently, the potential underlying action mechanisms of AR on ALI predicted by the network pharmacology analyses were experimentally validated in APAP-induced liver injury in mice and HL7702 cells
incubated with APAP. The compound-target network included 181 targets, whereas the potential genes related to ALI were 4,621. A total of 49 AR-ALI crossover proteins, corresponding to 49 genes, were filtered into a protein-protein interaction network complex and designated as the potential targets
of AR on ALI. Among the genes, the three highest-scoring genes, <i>MYC</i>, <i>MAPK8</i>, and <i>CXCL8</i> were highly associated with apoptosis in ALI. Then <i>in vitro</i> and <i>in vivo</i> experiments confirmed that AR exhibited its prominent therapeutic effects on ALI mainly via regulating
hepatocyte apoptosis related to inhibiting the expressions of <i>MYC</i> (c-Myc), <i>MAPK8</i> (JNK1), and <i>CXCL8</i> (IL-8). In conclusion, our study suggested that the combination of network pharmacology prediction with experimental validation might offer a useful tool to characterize the
molecular mechanism of AR on ALI.",1
36681052,"Urtica dioica agglutinin (UDA) as a potential candidate for inhibition of SARS-CoV-2 Omicron variants: In silico prediction and experimental validation.. The high number of mutations and consequent structure modifications in a Receptor-Binding Domain (RBD) of the spike protein of the Omicron variant of SARS-CoV-2 increased concerns about evading neutralization by antibodies induced by previous infection or vaccination. Thus, developing
novel drugs with potent inhibitory activity can be considered an alternative for treating this highly transmissible variant. Considering that Urtica dioica agglutinin (UDA) displays antiviral activity against SARS-CoV-2, the potency of this lectin to inhibit the Receptor Binding Domain of the
Omicron variant (RBD<sup>Omic</sup>) was examined in this study. This study examines how UDA inhibits the Omicron variant of SARS-CoV-2 by blocking its RBD, using a combination of in silico and experimental methods. To investigate the interaction between UDA and RBD<sup>Omic</sup>, the CLUSPRO 2.0
web server was used to dock the RBD<sup>Omic</sup>-UDA complex, and molecular dynamics simulations were performed by the Gromacs 2020.2 software to confirm the stability of the selected docked complex. Finally, the binding affinity (ΔG) of the simulation was calculated using MM-PBSA. In addition,
ELISA and Western blot tests were used to examine UDA's binding to RBD<sup>Omic</sup>. Based on the docking results, UDA forms five hydrogen bonds with the RBD<sup>Omic</sup> active site, which contains mutated residues Tyr501, Arg498, Arg493, and His505. According to MD simulations, the
UDA-RBD<sup>Omic</sup> complex is stable over 100 ns, and its average binding energy during the simulation is -87.201 kJ/mol. Also, the ELISA test showed that UDA significantly binds to RBD<sup>Omic</sup>, and by increasing the concentration of UDA protein, the attachment to RBD<sup>Omic</sup>
became stronger. In Western blotting, RBD<sup>Omic</sup> was able to attach to and detect UDA. This study indicates that UDA interaction with RBD<sup>Omic</sup> prevents virus attachment to Angiotensin-converting enzyme 2 (ACE2) and, therefore, its entry into the host cell. Altogether, UDA exhibited
a significant suppression effect on the Omicron variant and can be considered a new candidate to improve protection against severe infection of this variant.",1
31022582,"Glycogen synthase kinase-3 inhibition as a potential pharmacological target for vascular dementia: In silico and in vivo evidence.. Vascular dementia is a serious problem as it creates significant disability and dependency in the affected person. Lives of these patients can be improved through the advent of novel drug targets which can be targeted by pharmacological therapies. However, finding a precise and druggable
target for vascular dementia is experimentally impossible and challenging task owing to a complex and mostly unknown interplay between the cognitive abilities of the brain with a diversity of vascular diseases. To address this issue, we have systematically analyzed the literature reports by using
well-known methods and approaches of bioinformatics (viz. network pharmacology, reverse pharmacology, enrichment analysis of KEGG pathways, biological processes of Gene Ontology and DIAMOnD algorithm). Because glycogen synthase kinase-3 (GSK-3) seems to be one of the most promising targets,
therefore, we have tested the capacity of lithium carbonate, a classical inhibitor of GSK-3, for treatment of dementia resulting from mild chronic cerebral hypoperfusion in mice. To this end, our study shows in-vivo validation of predicted target, i.e., pharmacological deactivation of GSK-3 enzyme
and its impact on cognitive abilities employing a behavioral test battery, i.e., object recognition task, step-through passive avoidance task, elevated plus maze task and water maze task. In this framework, we observed that lithium carbonate attenuates recognition, emotion, spatial and
fear-motivated learning and memory impairments along with attenuation of oxidative stress, cholinergic dysfunction and glutamate-induced excitotoxicity in cerebral cortex and hippocampus. In conclusion, we propose GSK-3 as a promising drug target for vascular dementia in light of experimental
results and in-silico predictions.",1
35441904,"Immunoinformatics approach of epitope prediction for SARS-CoV-2.. The novel coronavirus (SARS-CoV-2) caused lethal infections worldwide during an unprecedented pandemic. Identification of the candidate viral epitopes is the first step in the design of vaccines against the viral infection. Several immunoinformatic approaches were employed to identify the
SARS-CoV-2 epitopes that bind specifically with the major histocompatibility molecules class I (MHC-I). We utilized immunoinformatic tools to analyze the whole viral protein sequences, to identify the SARS-CoV-2 epitopes responsible for binding to the most frequent human leukocyte antigen (HLA)
alleles in the Egyptian population. These alleles were also found with high frequency in other populations worldwide. Molecular docking approach showed that using the co-crystallized MHC-I and T cell receptor (TCR) instead of using MHC-I structure only, significantly enhanced docking scores and
stabilized the conformation, as well as the binding affinity of the identified SARS-CoV-2 epitopes. Our approach directly predicts 7 potential vaccine subunits from the available SARS-CoV-2 spike and ORF1ab protein sequence. This prediction has been confirmed by published experimentally validated
and in silico predicted spike epitope. On the other hand, we predicted novel epitopes (RDLPQGFSA and FCLEASFNY) showing high docking scores and antigenicity response with both MHC-I and TCR. Moreover, antigenicity, allergenicity, toxicity, and physicochemical properties of the predicted SARS-CoV-2
epitopes were evaluated via state-of-the-art bioinformatic approaches, showing high efficacy of the proposed epitopes as a vaccine candidate. Our predicted SARS-CoV-2 epitopes can facilitate vaccine development to enhance the immunogenicity against SARS-CoV-2 and provide supportive data for further
experimental validation. Our proposed molecular docking approach of exploiting both MHC and TCR structures can be used to identify potential epitopes for most microbial pathogens, provided the crystal structure of MHC co-crystallized with TCR.",0
31565062,"Active Ingredients and Action Mechanisms of Yi Guan Jian Decoction in Chronic Hepatitis B Patients with Liver Fibrosis.. The progression of liver fibrosis in chronic hepatitis B (CHB) patients is currently insufficiently controlled worldwide. The Yi Guan Jian decoction (YGJD) has been widely used in the treatment of liver fibrosis in CHB cases. Although animal studies have reported the antifibrotic effects
of the decoction, the active ingredients of the YGJD remain unknown. This study aimed at identifying the potential active ingredients and exploring the mechanisms of action (MOA) of the decoction when treating CHB patients with fibrosis. Using data mining techniques and a structural clustering
analysis, the potential active ingredients were determined. A network analysis of the differentially expressed genes was conducted to identify the potential targets. Selected compounds were docked to the potential targets for the compound-target interaction simulation. <i>In vitro</i> validation,
including a cell proliferation assay and Western blot analysis, was conducted to evaluate the prediction results. In the microarray data, 224 differentially expressed genes related to liver fibrosis were considered to be potential targets. Thirty active ingredients of the YGJD and 15 main targets
and relevant pathways were identified. Among them, two active ingredients, methylophiopogonone A and 8-geranyloxypsoralen, were validated as exhibiting antifibrotic effects on hepatic stellate cells. We identified the potential active ingredients of the YGJD and proposed the possible explanation for
the MOA in the treatment of CHB patients with liver fibrosis. Moreover, this study provides a methodological reference for the systematic investigation of the bioactive compounds and related MOA of a traditional Chinese medicine formula in a clinical context.",1
33116398,"Integrated Network Pharmacology Analysis and Experimental Validation to Reveal the Mechanism of Anti-Insulin Resistance Effects of <i>Moringa oleifera</i> Seeds.. Insulin resistance (IR) is one of the factors that results in metabolic syndrome, type 2 diabetes mellitus and different aspects of cardiovascular diseases. <i>Moringa oleifera</i> seeds (MOS), traditionally used as an antidiabetic food and traditional medicine in tropical Asia and Africa,
have exhibited potential effects in improving IR. To systematically explore the pharmacological mechanism of the anti-IR effects of MOS, we adopted a network pharmacology approach at the molecular level. By incorporating compound screening and target prediction, a feasible compound-target-pathway
network pharmacology model was established to systematically predict the potential active components and mechanisms of the anti-IR effects of MOS. Biological methods were then used to verify the results of the network pharmacology analysis. Our comprehensive systematic approach successfully
identified 32 bioactive compounds in MOS and 44 potential targets of these compounds related to IR, as well as 37 potential pathways related to IR. Moreover, the network pharmacology analysis revealed that glycosidic isothiocyanates and glycosidic benzylamines were the major active components that
improved IR by acting on key targets, such as SRC, PTPN1, and CASP3, which were involved in inflammatory responses and insulin-related pathways. Further biological research demonstrated that the anti-IR effects of MOS were mediated by increasing glucose uptake and modulating the expression of SRC
and PTPN1. Our study successfully predicts the active ingredients and potential targets of MOS for improving IR and helps to illustrate mechanism of action at a systemic level. This study not only provides new insights into the chemical basis and pharmacology of MOS but also demonstrates a feasible
method for discovering potential drugs from traditional medicines.",1
31945078,"Drug-target interaction prediction using Multi Graph Regularized Nuclear Norm Minimization.. The identification of potential interactions between drugs and target proteins is crucial in pharmaceutical sciences. The experimental validation of interactions in genomic drug discovery is laborious and expensive; hence, there is a need for efficient and accurate in-silico techniques
which can predict potential drug-target interactions to narrow down the search space for experimental verification. In this work, we propose a new framework, namely, Multi-Graph Regularized Nuclear Norm Minimization, which predicts the interactions between drugs and target proteins from three
inputs: known drug-target interaction network, similarities over drugs and those over targets. The proposed method focuses on finding a low-rank interaction matrix that is structured by the proximities of drugs and targets encoded by graphs. Previous works on Drug Target Interaction (DTI) prediction
have shown that incorporating drug and target similarities helps in learning the data manifold better by preserving the local geometries of the original data. But, there is no clear consensus on which kind and what combination of similarities would best assist the prediction task. Hence, we propose
to use various multiple drug-drug similarities and target-target similarities as multiple graph Laplacian (over drugs/targets) regularization terms to capture the proximities exhaustively. Extensive cross-validation experiments on four benchmark datasets using standard evaluation metrics (AUPR and
AUC) show that the proposed algorithm improves the predictive performance and outperforms recent state-of-the-art computational methods by a large margin. Software is publicly available at https://github.com/aanchalMongia/MGRNNMforDTI.",0
37314917,"Multitype Perception Method for Drug-Target Interaction Prediction.. With the growing popularity of artificial intelligence in drug discovery, many deep-learning technologies have been used to automatically predict unknown drug-target interactions (DTIs). A unique challenge in using these technologies to predict DTI is fully exploiting the knowledge
diversity across different interaction types, such as drug-drug, drug-target, drug-enzyme, drug-path, and drug-structure types. Unfortunately, existing methods tend to learn the specifical knowledge on each interaction type and they usually ignore the knowledge diversity across different interaction
types. Therefore, we propose a multitype perception method (MPM) for DTI prediction by exploiting knowledge diversity across different link types. The method consists of two main components: a type perceptor and a multitype predictor. The type perceptor learns distinguished edge representations by
retaining the specifical features across different interaction types; this maximizes the prediction performance for each interaction type. The multitype predictor calculates the type similarity between the type perceptor and predicted interactions, and the domain gate module is reconstructed to
assign an adaptive weight to each type perceptor. Extensive experiments demonstrate that our proposed MPM outperforms the state-of-the-art methods in DTI prediction.",0
33354218,"Integrating Network Pharmacology and Experimental Validation to Investigate the Mechanisms of Huazhuojiedu Decoction to Treat Chronic Atrophic Gastritis.. Chronic atrophic gastritis (CAG) is an important stage in the normal gastric mucosa's transformation into gastric cancer. Huazhuojiedu decoction (HZJD), a Chinese herbal preparation, has proven clinically effective to treat CAG. However, few studies have explored the mechanism of HZJD in
CAG treatment. This study aimed to shed light on the mechanisms underlying HZJD decoction CAG treatment using a network pharmacology approach and experimental validation. The active components of HZJD decoction were obtained from the Traditional Chinese Medicine Systems Pharmacology Database and
Analysis Platform. Their targets were predicted through the SwissTargetPrediction database. Disease targets were screened using the GeneCards database. The disease and drug prediction targets were intersected to select the common potential therapeutic targets, which then were input into the Search
Tool for the Retrieval of Interacting Genes to build a protein-protein interaction network. The ""herb-compound-target-disease"" and the ""herb-target-pathway"" network diagrams were constructed in Cytoscape 3.3.0. Gene Ontology and Kyoto Encyclopedia of Genes and Genomes pathway enrichment analysis of
effective targets were performed using the Database for Annotation, Visualization, and Integrated Discovery. Finally, the core targets were preliminarily verified by CAG rat model. The gastric mucosa's histopathological changes were observed via hematoxylin-eosin staining. The expressions of MAPK1,
AKT1, TNF, VEGFA, and EGFR were detected by western blot and quantitative real-time reverse transcription-polymerase chain reaction. A total of 155 nodes, including 20 putative targets of HZJD decoction, were selected as core hubs based on topological importance and were closely associated with the
regulation of cell proliferation, apoptotic process, and cancer-related pathways (AKT1, TNF, VEGFA, and EGFR) in CAG. Further animal experiments showed that the expression of AKT1 in CAG rats was significantly increased, which was suppressed by HZJD decoction. TNF and VEGFA expression increased in
the model group, but did not change in the HZJD group. MAPK1 and EGFR expression showed no significant differences among control, model, and HZJD groups. Taken together, the results suggest that the components of HZJD decoction can alleviate and prevent the severity of gastric precancerous lesions
via AKT1 inhibition in CAG.",1
33582935,"Molecular docking, binding mode analysis, molecular dynamics, and prediction of ADMET/toxicity properties of selective potential antiviral agents against SARS-CoV-2 main protease: an effort toward drug repurposing to combat COVID-19.. The importance of the main protease (M<sup>pro</sup>) enzyme of SARS-CoV-2 in the digestion of viral polyproteins introduces M<sup>pro</sup> as an attractive drug target for antiviral drug design. This study aims to carry out the molecular docking, molecular dynamics studies, and
prediction of ADMET properties of selected potential antiviral molecules. The study provides an insight into biomolecular interactions to understand the inhibitory mechanism and the spatial orientation of the tested ligands and further, identification of key amino acid residues within the
substrate-binding pocket that can be applied for structure-based drug design. In this regard, we carried out molecular docking studies of chloroquine (CQ), hydroxychloroquine (HCQ), remdesivir (RDV), GS441524, arbidol (ARB), and natural product glycyrrhizin (GA) using AutoDock 4.2 tool. To study the
drug-receptor complex's stability, selected docking possesses were further subjected to molecular dynamics studies with Schrodinger software. The prediction of ADMET/toxicity properties was carried out on ADMET Prediction™. The docking studies suggested a potential role played by CYS145, HIS163, and
GLU166 in the interaction of molecules within the active site of COVID-19 M<sup>pro</sup>. In the docking studies, RDV and GA exhibited superiority in binding with the crystal structure of M<sup>pro</sup> over the other selected molecules in this study. Spatial orientations of the molecules at the
active site of M<sup>pro</sup> exposed the significance of S1-S4 subsites and surrounding amino acid residues. Among GA and RDV, RDV showed better and stable interactions with the protein, which is the reason for the lesser RMSD values for RDV. Overall, the present in silico study indicated the
direction to combat COVID-19 using FDA-approved drugs as promising agents, which do not need much toxicity studies and could also serve as starting points for lead optimization in drug discovery.",0
37513929,"New Imadazopyrazines with CDK9 Inhibitory Activity as Anticancer and Antiviral: Synthesis, In Silico, and In Vitro Evaluation Approaches.. This study describes the synthesis and biological activity of new imadazopyrazines as first-in-class CDK9 inhibitors. The inhibition of CDK9 is a well-established therapeutic target in cancer therapy. The new compounds were assessed using an in vitro kinase assay against CDK9. In this
assay, compound <b>1d</b> exhibited the highest CDK9 inhibition with an IC<sub>50</sub> of 0.18 µM. The cytotoxicity effect of the novel compounds was evaluated in three cancer cell lines: HCT116, K652, and MCF7. The results of this assay showed a correlation between the antiproliferative effect of
the inhibitors and their CDK9 inhibitory effect in the biochemical assay. This suggests CDK9 inhibition as a mechanistic pathway for their anticancer effect. Several compounds demonstrated potent cytotoxic effects with single-digit micromolar IC<sub>50</sub> values yielded through an MTT assay. The
compounds with the most promising data were further assessed for their antiviral activity against human Coronavirus 229E. The results showed that compound <b>4a</b> showed the highest antiviral potency with an IC<sub>50</sub> of 63.28 µM and a selectivity index of 4.8. In silico target prediction
data showed that <b>4a</b> displayed a good affinity to proteases. The result of the docking studies of <b>4a</b> with COVID-19 main protease revealed a high binding affinity, which confirmed the results obtained from in vitro study. The physiochemical and in silico pharmacokinetic parameters
indicated reasonable drug-likeness properties of the new compounds, including solubility, lipophilicity, absorption, oral bioavailability, and metabolic stability. Further lead optimization of this novel scaffold could lead to a revolution of a new class of preclinical CDK9 agents.",1
38127299,"Identification of novel canonical and cryptic HCMV-specific T-cell epitopes for HLA-A*03 and HLA-B*15 via peptide-PRISM.. Human cytomegalovirus (HCMV) reactivation poses a substantial risk to transplant patients. Effective risk stratification and vaccine development is hampered by a lack of HCMV-derived immunogenic peptides in patients with common HLA-A*03:01 and HLA-B*15:01 haplotypes. This study aimed to
discover novel HCMV immunogenic peptides for these haplotypes by combining Ribo-seq and mass spectrometry with state-of-the-art computational tools, Peptide-PRISM and PRICE. Furthermore, employing machine learning, an algorithm was developed to predict immunogenicity based on translational activity,
binding affinity and peptide localization within small open reading frames to identify the most promising peptides for in vitro validation. Immunogenicity of these peptides was subsequently tested by analyzing peptide-specific T-cell responses of HCMV-seropositive and -seronegative healthy donors as
well as transplant patients. This resulted in the direct identification of three canonical and one cryptic HLA-A*03-restricted immunogenic peptides as well as five canonical and one cryptic HLA-B*15-restricted immunogenic peptide, with a specific IFNγ+/CD8+ T-cell response of ≥ 0.02%. High T-cell
responses were detected against two HLA A*03-restricted and three HLA-B*15-restricted canonical peptides with frequencies of up to 8.77% IFNγ+/CD8+ T cells in patients post alloSCT. Therefore, our comprehensive strategy establishes a framework for efficient identification of novel immunogenic
peptides from both existing and novel Ribo-seq datasets.",1
33764050,"Estimating the Roles of Protonation and Electronic Polarization in Absolute Binding Affinity Simulations.. Accurate prediction of binding free energies is critical to streamlining the drug development and protein design process. With the advent of GPU acceleration, absolute alchemical methods, which simulate the removal of ligand electrostatics and van der Waals interactions with the protein,
have become routinely accessible and provide a physically rigorous approach that enables full consideration of flexibility and solvent interaction. However, standard explicit solvent simulations are unable to model protonation or electronic polarization changes upon ligand transfer from water to the
protein interior, leading to inaccurate prediction of binding affinities for charged molecules. Here, we perform extensive simulation totaling ∼540 μs to benchmark the impact of modeling conditions on predictive accuracy for absolute alchemical simulations. Binding to urokinase plasminogen activator
(UPA), a protein frequently overexpressed in metastatic tumors, is evaluated for a set of 10 inhibitors with extended flexibility, highly charged character, and titratable properties. We demonstrate that the alchemical simulations can be adapted to utilize the MBAR/PBSA method to improve the
accuracy upon incorporating electronic polarization, highlighting the importance of polarization in alchemical simulations of binding affinities. Comparison of binding energy prediction at various protonation states indicates that proper electrostatic setup is also crucial in binding affinity
prediction of charged systems, prompting us to propose an alternative binding mode with protonated ligand phenol and Hid-46 at the binding site, a testable hypothesis for future experimental validation.",0
34843456,"Protein domain-based prediction of drug/compound-target interactions and experimental validation on LIM kinases.. Predictive approaches such as virtual screening have been used in drug discovery with the objective of reducing developmental time and costs. Current machine learning and network-based approaches have issues related to generalization, usability, or model interpretability, especially due to
the complexity of target proteins' structure/function, and bias in system training datasets. Here, we propose a new method ""DRUIDom"" (DRUg Interacting Domain prediction) to identify bio-interactions between drug candidate compounds and targets by utilizing the domain modularity of proteins, to
overcome problems associated with current approaches. DRUIDom is composed of two methodological steps. First, ligands/compounds are statistically mapped to structural domains of their target proteins, with the aim of identifying their interactions. As such, other proteins containing the same mapped
domain or domain pair become new candidate targets for the corresponding compounds. Next, a million-scale dataset of small molecule compounds, including those mapped to domains in the previous step, are clustered based on their molecular similarities, and their domain associations are propagated to
other compounds within the same clusters. Experimentally verified bioactivity data points, obtained from public databases, are meticulously filtered to construct datasets of active/interacting and inactive/non-interacting drug/compound-target pairs (~2.9M data points), and used as training data for
calculating parameters of compound-domain mappings, which led to 27,032 high-confidence associations between 250 domains and 8,165 compounds, and a finalized output of ~5 million new compound-protein interactions. DRUIDom is experimentally validated by syntheses and bioactivity analyses of compounds
predicted to target LIM-kinase proteins, which play critical roles in the regulation of cell motility, cell cycle progression, and differentiation through actin filament dynamics. We showed that LIMK-inhibitor-2 and its derivatives significantly block the cancer cell migration through inhibition of
LIMK phosphorylation and the downstream protein cofilin. One of the derivative compounds (LIMKi-2d) was identified as a promising candidate due to its action on resistant Mahlavu liver cancer cells. The results demonstrated that DRUIDom can be exploited to identify drug candidate compounds for
intended targets and to predict new target proteins based on the defined compound-domain relationships. Datasets, results, and the source code of DRUIDom are fully-available at: https://github.com/cansyl/DRUIDom.",1
36316405,"Prediction of drug-target interactions through multi-task learning.. Identifying the binding between the target proteins and molecules is essential in drug discovery. The multi-task learning method has been introduced to facilitate knowledge sharing among tasks when the amount of information for each task is small. However, multi-task learning sometimes
worsens the overall performance or generates a trade-off between individual task's performance. In this study, we propose a general multi-task learning scheme that not only increases the average performance but also minimizes individual performance degradation, through group selection and knowledge
distillation. The groups are selected on the basis of chemical similarity between ligand sets of targets, and the similar targets in the same groups are trained together. During training, we apply knowledge distillation with teacher annealing. The multi-task learning models are guided by the
predictions of the single-task learning models. This method results in higher average performance than that from single-task learning and classic multi-task learning. Further analysis reveals that multi-task learning is particularly effective for low performance tasks, and knowledge distillation
helps the model avoid the degradation in individual task performance in multi-task learning.",0
37907030,"Drug-target affinity prediction method based on multi-scale information interaction and graph optimization.. Drug-target affinity (DTA) prediction as an emerging and effective method is widely applied to explore the strength of drug-target interactions in drug development research. By predicting these interactions, researchers can assess the potential efficacy and safety of candidate drugs at an
early stage, narrowing down the search space for therapeutic targets and accelerating the discovery and development of new drugs. However, existing DTA prediction models mainly use graphical representations of drug molecules, which lack information on interactions between individual substructures,
thus affecting prediction accuracy and model interpretability. Therefore, transformer and diffusion on drug graphs in DTA prediction (TDGraphDTA) are introduced to predict drug-target interactions using multi-scale information interaction and graph optimization. An interactive module is integrated
into feature extraction of drug and target features at different granularity levels. A diffusion model-based graph optimization module is proposed to improve the representation of molecular graph structures and enhance the interpretability of graph representations while obtaining optimal feature
representations. In addition, TDGraphDTA improves the accuracy and reliability of predictions by capturing relationships and contextual information between molecular substructures. The performance of the proposed TDGraphDTA in DTA prediction was verified on three publicly available benchmark
datasets (Davis, Metz, and KIBA). Compared with state-of-the-art baseline models, it achieved better results in terms of consistency index, R-squared, etc. Furthermore, compared with some existing methods, the proposed TDGraphDTA is demonstrated to have better structure capturing capabilities by
visualizing the feature capturing capabilities of the model using Grad-AAM toxicity labels in the ToxCast dataset. The corresponding source codes are available at https://github.com/Lamouryz/TDGraph.",0
31649545,"Integrating Network Pharmacology and Pharmacological Evaluation for Deciphering the Action Mechanism of Herbal Formula Zuojin Pill in Suppressing Hepatocellular Carcinoma.. Hepatocellular carcinoma (HCC) is a kind of complicated disease with an increasing incidence all over the world. A classic Chinese medicine formula, Zuojin pill (ZJP), was shown to exert therapeutic effects on HCC. However, its chemical and pharmacological profiles remain to be elucidated.
In the current study, network pharmacology approach was applied to characterize the action mechanism of ZJP on HCC. All compounds were obtained from the corresponding databases, and active compounds were selected according to their oral bioavailability and drug-likeness index. The potential proteins
of ZJP were obtained from the traditional Chinese medicine systems pharmacology (TCMSP) database and the traditional Chinese medicine integrated database (TCMID), whereas the potential genes of HCC were obtained from OncoDB.HCC and Liverome databases. The potential pathways related to genes were
determined by gene ontology (GO) and pathway enrichment analyses. The compound-target and target-pathway networks were constructed. Subsequently, the potential underlying action mechanisms of ZJP on HCC predicted by the network pharmacology analyses were experimentally validated in HCC cellular and
orthotopic HCC implantation murine models. A total of 224 components in ZJP were obtained, among which, 42 were chosen as bioactive components. The compound-target network included 32 compounds and 86 targets, whereas the target-pathway network included 70 proteins and 75 pathways. The <i>in
vitro</i> and <i>in vivo</i> experiments validated that ZJP exhibited its prominent therapeutic effects on HCC mainly <i>via</i> the regulation of cell proliferation and survival though the EGFR/MAPK, PI3K/NF-κB, and CCND1 signaling pathways. In conclusion, our study suggested combination of network
pharmacology prediction with experimental validation may offer a useful tool to characterize the molecular mechanism of traditional Chinese medicine (TCM) ZJP on HCC.",1
33866349,"Deep drug-target binding affinity prediction with multiple attention blocks.. Drug-target interaction (DTI) prediction has drawn increasing interest due to its substantial position in the drug discovery process. Many studies have introduced computational models to treat DTI prediction as a regression task, which directly predict the binding affinity of drug-target
pairs. However, existing studies (i) ignore the essential correlations between atoms when encoding drug compounds and (ii) model the interaction of drug-target pairs simply by concatenation. Based on those observations, in this study, we propose an end-to-end model with multiple attention blocks to
predict the binding affinity scores of drug-target pairs. Our proposed model offers the abilities to (i) encode the correlations between atoms by a relation-aware self-attention block and (ii) model the interaction of drug representations and target representations by the multi-head attention block.
Experimental results of DTI prediction on two benchmark datasets show our approach outperforms existing methods, which are benefit from the correlation information encoded by the relation-aware self-attention block and the interaction information extracted by the multi-head attention block.
Moreover, we conduct the experiments on the effects of max relative position length and find out the best max relative position length value $k \in \{3, 5\}$. Furthermore, we apply our model to predict the binding affinity of Corona Virus Disease 2019 (COVID-19)-related genome sequences and $3137$
FDA-approved drugs.",0
