PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
31665479,ProteomicsDB: a multi-omics and multi-organism resource for life science research,"Samaras P, Schmidt T, Frejno M, Gessulat S, Reinecke M, Jarzab A, Zecha J, Mergner J, Giansanti P, Ehrlich HC, Aiche S, Rank J, Kienegger H, Krcmar H, Kuster B, Wilhelm M.",Nucleic Acids Res. 2020 Jan 8;48(D1):D1153-D1163. doi: 10.1093/nar/gkz974.,Samaras P,Nucleic Acids Res,2020,2019/10/31,PMC7145565,,10.1093/nar/gkz974
26818006,Prediction of drugs having opposite effects on disease genes in a directed network,"Yu H, Choo S, Park J, Jung J, Kang Y, Lee D.",BMC Syst Biol. 2016 Jan 11;10 Suppl 1(Suppl 1):2. doi: 10.1186/s12918-015-0243-2.,Yu H,BMC Syst Biol,2016,2016/01/29,PMC4895308,,10.1186/s12918-015-0243-2
32863859,Development of simultaneous interaction prediction approach (SiPA) for the expansion of interaction network of traditional Chinese medicine,"Rui M, Pang H, Ji W, Wang S, Yu X, Wang L, Feng C.",Chin Med. 2020 Aug 26;15:90. doi: 10.1186/s13020-020-00369-z. eCollection 2020.,Rui M,Chin Med,2020,2020/09/01,PMC7448979,,10.1186/s13020-020-00369-z
34745218,Interaction-Based Feature Selection Algorithm Outperforms Polygenic Risk Score in Predicting Parkinson's Disease Status,"Cope JL, Baukmann HA, Klinger JE, Ravarani CNJ, Böttinger EP, Konigorski S, Schmidt MF.",Front Genet. 2021 Oct 20;12:744557. doi: 10.3389/fgene.2021.744557. eCollection 2021.,Cope JL,Front Genet,2021,2021/11/08,PMC8564367,,10.3389/fgene.2021.744557
28961686,Sequence2Vec: a novel embedding approach for modeling transcription factor binding affinity landscape,"Dai H, Umarov R, Kuwahara H, Li Y, Song L, Gao X.",Bioinformatics. 2017 Nov 15;33(22):3575-3583. doi: 10.1093/bioinformatics/btx480.,Dai H,Bioinformatics,2017,2017/09/30,PMC5870668,,10.1093/bioinformatics/btx480
34904009,Response Surface Study on Molecular Docking Simulations of Citalopram and Donepezil as Potent CNS Drugs,"Alikhani R, Ebadi A, Karami P, Shahbipour S, Razzaghi-Asl N.",Iran J Pharm Res. 2021 Summer;20(3):560-576. doi: 10.22037/ijpr.2020.113644.14409.,Alikhani R,Iran J Pharm Res,2021,2021/12/14,PMC8653677,,10.22037/ijpr.2020.113644.14409
36744334,Uncovering the Oxidative Stress Mechanisms and Targets in Alzheimer's Disease by Integrating Phenotypic Screening Data and Polypharmacology Networks,"Zhou M, Jiao Q, Wu Z, Li W, Liu G, Wang R, Tang Y.",J Alzheimers Dis. 2023 Feb 2. doi: 10.3233/JAD-220727. Online ahead of print.,Zhou M,J Alzheimers Dis,2023,2023/02/06,,,10.3233/JAD-220727
34592368,Discovery of novel inhibitors targeting Plasmodium knowlesi dihydrofolate reductase using molecular docking and molecular dynamics simulation,"Yadav MK, Tripathi MK, Yadav S.",Microb Pathog. 2021 Dec;161(Pt A):105214. doi: 10.1016/j.micpath.2021.105214. Epub 2021 Sep 27.,Yadav MK,Microb Pathog,2021,2021/09/30,,,10.1016/j.micpath.2021.105214
30793050,NRLMFβ: Beta-distribution-rescored neighborhood regularized logistic matrix factorization for improving the performance of drug-target interaction prediction,"Ban T, Ohue M, Akiyama Y.",Biochem Biophys Rep. 2019 Feb 7;18:100615. doi: 10.1016/j.bbrep.2019.01.008. eCollection 2019 Jul.,Ban T,Biochem Biophys Rep,2019,2019/02/23,PMC6370585,,10.1016/j.bbrep.2019.01.008
26719774,Accurate and efficient target prediction using a potency-sensitive influence-relevance voter,"Lusci A, Browning M, Fooshee D, Swamidass J, Baldi P.",J Cheminform. 2015 Dec 29;7:63. doi: 10.1186/s13321-015-0110-6. eCollection 2015.,Lusci A,J Cheminform,2015,2016/01/01,PMC4696267,,10.1186/s13321-015-0110-6
28270862,The polypharmacology browser: a web-based multi-fingerprint target prediction tool using ChEMBL bioactivity data,"Awale M, Reymond JL.",J Cheminform. 2017 Feb 21;9:11. doi: 10.1186/s13321-017-0199-x. eCollection 2017.,Awale M,J Cheminform,2017,2017/03/09,PMC5319934,,10.1186/s13321-017-0199-x
34484402,Identifying Active Compounds and Mechanism of Camellia nitidissima Chi on Anti-Colon Cancer by Network Pharmacology and Experimental Validation,"Chen Y, Hao E, Zhang F, Du Z, Xie J, Chen F, Yu C, Hou X, Deng J.",Evid Based Complement Alternat Med. 2021 Aug 26;2021:7169211. doi: 10.1155/2021/7169211. eCollection 2021.,Chen Y,Evid Based Complement Alternat Med,2021,2021/09/06,PMC8413042,,10.1155/2021/7169211
33611781,An In Silico Method for Predicting Drug Synergy Based on Multitask Learning,"Chen X, Luo L, Shen C, Ding P, Luo J.",Interdiscip Sci. 2021 Jun;13(2):299-311. doi: 10.1007/s12539-021-00422-x. Epub 2021 Feb 21.,Chen X,Interdiscip Sci,2021,2021/02/21,,,10.1007/s12539-021-00422-x
31939004,Population-based meta-analysis of bortezomib exposure-response relationships in multiple myeloma patients,"Zhang L, Mager DE.",J Pharmacokinet Pharmacodyn. 2020 Feb;47(1):77-90. doi: 10.1007/s10928-019-09670-3. Epub 2020 Jan 14.,Zhang L,J Pharmacokinet Pharmacodyn,2020,2020/01/16,,,10.1007/s10928-019-09670-3
29340865,Design of a tripartite network for the prediction of drug targets,"Kunimoto R, Bajorath J.",J Comput Aided Mol Des. 2018 Feb;32(2):321-330. doi: 10.1007/s10822-018-0098-x. Epub 2018 Jan 16.,Kunimoto R,J Comput Aided Mol Des,2018,2018/01/18,,,10.1007/s10822-018-0098-x
35355727,Elucidating the Synergistic Effect of Multiple Chinese Herbal Prescriptions in the Treatment of Post-stroke Neurological Damage,"Xu A, Wen ZH, Su SX, Chen YP, Liu WC, Guo SQ, Li XF, Zhang X, Li R, Xu NB, Wang KX, Li WX, Guan DG, Duan CZ.",Front Pharmacol. 2022 Mar 9;13:784242. doi: 10.3389/fphar.2022.784242. eCollection 2022.,Xu A,Front Pharmacol,2022,2022/03/31,PMC8959705,,10.3389/fphar.2022.784242
38095360,"Identification of new small molecule allosteric SHP2 inhibitor through pharmacophore-based virtual screening, molecular docking, molecular dynamics simulation studies, synthesis and in vitro evaluation","Mitra R, Kumar S, Ayyannan SR.",J Biomol Struct Dyn. 2023 Dec 14:1-20. doi: 10.1080/07391102.2023.2291733. Online ahead of print.,Mitra R,J Biomol Struct Dyn,2023,2023/12/14,,,10.1080/07391102.2023.2291733
35910372,The potential mechanism of Longsheyangquan Decoction on the treatment of bladder cancer: Systemic network pharmacology and molecular docking,"Cheng Z, Ye F, Xu C, Liang Y, Zhang Z, Chen X, Dai X, Ou Y, Mou Z, Li W, Chen Y, Zhou Q, Zou L, Mao S, Jiang H.",Front Pharmacol. 2022 Jul 14;13:932039. doi: 10.3389/fphar.2022.932039. eCollection 2022.,Cheng Z,Front Pharmacol,2022,2022/08/01,PMC9330057,,10.3389/fphar.2022.932039
30989923,[Network pharmacology-based study on mechanism of Siwu Decoction in treatment of primary dysmenorrhea],"Li J, Shi JF, Nie X, Jiang HJ, Fu CM, He Y.",Zhongguo Zhong Yao Za Zhi. 2019 Feb;44(3):559-565. doi: 10.19540/j.cnki.cjcmm.20181119.002.,Li J,Zhongguo Zhong Yao Za Zhi,2019,2019/04/17,,,10.19540/j.cnki.cjcmm.20181119.002
30321850,QSAR classification-based virtual screening followed by molecular docking studies for identification of potential inhibitors of 5-lipoxygenase,"Shameera Ahamed TK, Rajan VK, Sabira K, Muraleedharan K.",Comput Biol Chem. 2018 Dec;77:154-166. doi: 10.1016/j.compbiolchem.2018.10.002. Epub 2018 Oct 5.,Shameera Ahamed TK,Comput Biol Chem,2018,2018/10/16,,,10.1016/j.compbiolchem.2018.10.002
34392652,Efficacy of an Yinyanghuo (Herba Epimedii Brevicornus)-Xianmao (Rhizoma Curculiginis) drug pair in a rat model of polycystic ovary syndrome,"Liu C, Liu LH, Li N, Xiu A, Zhang Z, Ai H.",J Tradit Chin Med. 2021 Aug;41(4):588-599. doi: 10.19852/j.cnki.jtcm.2021.03.011.,Liu C,J Tradit Chin Med,2021,2021/08/15,,,10.19852/j.cnki.jtcm.2021.03.011
24603772,Drug repositioning by applying 'expression profiles' generated by integrating chemical structure similarity and gene semantic similarity,"Tan F, Yang R, Xu X, Chen X, Wang Y, Ma H, Liu X, Wu X, Chen Y, Liu L, Jia X.",Mol Biosyst. 2014 May;10(5):1126-38. doi: 10.1039/c3mb70554d.,Tan F,Mol Biosyst,2014,2014/03/08,,,10.1039/c3mb70554d
34613523,AI-driven prediction of SARS-CoV-2 variant binding trends from atomistic simulations,"Capponi S, Wang S, Navarro EJ, Bianco S.",Eur Phys J E Soft Matter. 2021 Oct 6;44(10):123. doi: 10.1140/epje/s10189-021-00119-5.,Capponi S,Eur Phys J E Soft Matter,2021,2021/10/06,PMC8493367,,10.1140/epje/s10189-021-00119-5
29783926,Neural networks for link prediction in realistic biomedical graphs: a multi-dimensional evaluation of graph embedding-based approaches,"Crichton G, Guo Y, Pyysalo S, Korhonen A.",BMC Bioinformatics. 2018 May 21;19(1):176. doi: 10.1186/s12859-018-2163-9.,Crichton G,BMC Bioinformatics,2018,2018/05/23,PMC5963080,,10.1186/s12859-018-2163-9
30527128,Predicting combinative drug pairs via multiple classifier system with positive samples only,"Shi JY, Li JX, Mao KT, Cao JB, Lei P, Lu HM, Yiu SM.",Comput Methods Programs Biomed. 2019 Jan;168:1-10. doi: 10.1016/j.cmpb.2018.11.002. Epub 2018 Nov 15.,Shi JY,Comput Methods Programs Biomed,2019,2018/12/12,,,10.1016/j.cmpb.2018.11.002
28978313,"VB-MK-LMF: fusion of drugs, targets and interactions using variational Bayesian multiple kernel logistic matrix factorization","Bolgár B, Antal P.",BMC Bioinformatics. 2017 Oct 4;18(1):440. doi: 10.1186/s12859-017-1845-z.,Bolgár B,BMC Bioinformatics,2017,2017/10/06,PMC5628496,,10.1186/s12859-017-1845-z
28906116,"PhID: An Open-Access Integrated Pharmacology Interactions Database for Drugs, Targets, Diseases, Genes, Side-Effects, and Pathways","Deng Z, Tu W, Deng Z, Hu QN.",J Chem Inf Model. 2017 Oct 23;57(10):2395-2400. doi: 10.1021/acs.jcim.7b00175. Epub 2017 Oct 12.,Deng Z,J Chem Inf Model,2017,2017/09/15,,,10.1021/acs.jcim.7b00175
29789977,Effect of missing data on multitask prediction methods,"de la Vega de León A, Chen B, Gillet VJ.",J Cheminform. 2018 May 22;10(1):26. doi: 10.1186/s13321-018-0281-z.,de la Vega de León A,J Cheminform,2018,2018/05/24,PMC5964064,,10.1186/s13321-018-0281-z
34141935,"Computational study to discover potent phytochemical inhibitors against drug target, squalene synthase from Leishmania donovani","Wadanambi PM, Mannapperuma U.",Heliyon. 2021 May 31;7(6):e07178. doi: 10.1016/j.heliyon.2021.e07178. eCollection 2021 Jun.,Wadanambi PM,Heliyon,2021,2021/06/18,PMC8188062,,10.1016/j.heliyon.2021.e07178
31874032,GRAM: A True Null Model for Relative Binding Affinity Predictions,"Cui G, Graves AP, Manas ES.",J Chem Inf Model. 2020 Jan 27;60(1):11-16. doi: 10.1021/acs.jcim.9b00939. Epub 2020 Jan 2.,Cui G,J Chem Inf Model,2020,2019/12/25,,,10.1021/acs.jcim.9b00939
33994999,A Combined Phytochemistry and Network Pharmacology Approach to Reveal Potential Anti-NSCLC Effective Substances and Mechanisms in Marsdenia tenacissima (Roxb.) Moon (Stem),"Liu P, Xu DW, Li RT, Wang SH, Hu YL, Shi SY, Li JY, Huang YH, Kang LW, Liu TX.",Front Pharmacol. 2021 Apr 29;12:518406. doi: 10.3389/fphar.2021.518406. eCollection 2021.,Liu P,Front Pharmacol,2021,2021/05/17,PMC8117745,,10.3389/fphar.2021.518406
29049542,Nanoparticle Optimization for Enhanced Targeted Anticancer Drug Delivery,"Chamseddine IM, Kokkolaras M.",J Biomech Eng. 2018 Apr 1;140(4). doi: 10.1115/1.4038202.,Chamseddine IM,J Biomech Eng,2018,2017/10/20,,,10.1115/1.4038202
35207564,Network Pharmacology Study to Reveal the Potentiality of a Methanol Extract of Caesalpinia sappan L. Wood against Type-2 Diabetes Mellitus,"Adnan M, Jeon BB, Chowdhury MHU, Oh KK, Das T, Chy MNU, Cho DH.",Life (Basel). 2022 Feb 13;12(2):277. doi: 10.3390/life12020277.,Adnan M,Life (Basel),2022,2022/02/25,PMC8880704,,10.3390/life12020277
26552438,Large-Scale Prediction of Drug Targets Based on Local and Global Consistency of Chemical-Chemical Networks,"Huang G, Feng K, Li X, Peng Y.",Comb Chem High Throughput Screen. 2016;19(2):121-8. doi: 10.2174/1386207319666151110123120.,Huang G,Comb Chem High Throughput Screen,2016,2015/11/11,,,10.2174/1386207319666151110123120
34666103,"Computational screening of potential inhibitors targeting MurF of Brugia malayi Wolbachia through multi-scale molecular docking, molecular dynamics and MM-GBSA analysis","Poopandi S, Sundaraj R, Rajmichael R, Thangaraj S, Dhamodharan P, Biswal J, Malaisamy V, Jeyaraj Pandian C, Jeyaraman J.",Mol Biochem Parasitol. 2021 Nov;246:111427. doi: 10.1016/j.molbiopara.2021.111427. Epub 2021 Oct 16.,Poopandi S,Mol Biochem Parasitol,2021,2021/10/19,,,10.1016/j.molbiopara.2021.111427
31393672,Identification of potential drug-targets by combining evolutionary information extracted from frequency profiles and molecular topological structures,"Wang L, You ZH, Li LP, Yan X, Zhang W, Song KJ, Song CD.",Chem Biol Drug Des. 2020 Aug;96(2):758-767. doi: 10.1111/cbdd.13599. Epub 2020 May 25.,Wang L,Chem Biol Drug Des,2020,2019/08/09,,,10.1111/cbdd.13599
33078096,Molecular docking and ADMET study of bioactive compounds of Glycyrrhiza glabra against main protease of SARS-CoV2,"Srivastava V, Yadav A, Sarkar P.",Mater Today Proc. 2022;49:2999-3007. doi: 10.1016/j.matpr.2020.10.055. Epub 2020 Oct 14.,Srivastava V,Mater Today Proc,2022,2020/10/20,PMC7556787,,10.1016/j.matpr.2020.10.055
25638808,TIMMA-R: an R package for predicting synergistic multi-targeted drug combinations in cancer cell lines or patient-derived samples,"He L, Wennerberg K, Aittokallio T, Tang J.",Bioinformatics. 2015 Jun 1;31(11):1866-8. doi: 10.1093/bioinformatics/btv067. Epub 2015 Jan 31.,He L,Bioinformatics,2015,2015/02/02,PMC4443685,,10.1093/bioinformatics/btv067
31547677,Supercomputer docking with a large number of degrees of freedom,"Sulimov A, Kutov D, Ilin I, Zheltkov D, Tyrtyshnikov E, Sulimov V.",SAR QSAR Environ Res. 2019 Oct;30(10):733-749. doi: 10.1080/1062936X.2019.1659412. Epub 2019 Sep 24.,Sulimov A,SAR QSAR Environ Res,2019,2019/09/25,,,10.1080/1062936X.2019.1659412
29719770,"Identification of curcumin derivatives as human LMTK3 inhibitors for breast cancer: a docking, dynamics, and MM/PBSA approach","Anbarasu K, Jayanthi S.",3 Biotech. 2018 May;8(5):228. doi: 10.1007/s13205-018-1239-6. Epub 2018 Apr 27.,Anbarasu K,3 Biotech,2018,2018/05/03,PMC5924428,,10.1007/s13205-018-1239-6
29785435,Assessing the performance of MM/PBSA and MM/GBSA methods. 7. Entropy effects on the performance of end-point binding free energy calculation approaches,"Sun H , Duan L , Chen F , Liu H , Wang Z , Pan P , Zhu F , Zhang JZH , Hou T .",Phys Chem Chem Phys. 2018 May 30;20(21):14450-14460. doi: 10.1039/c7cp07623a.,Sun H,Phys Chem Chem Phys,2018,2018/05/23,,,10.1039/c7cp07623a
28882624,Network pharmacology analysis of the anti-cancer pharmacological mechanisms of Ganoderma lucidum extract with experimental support using Hepa1-6-bearing C57 BL/6 mice,"Zhao RL, He YM.",J Ethnopharmacol. 2018 Jan 10;210:287-295. doi: 10.1016/j.jep.2017.08.041. Epub 2017 Sep 4.,Zhao RL,J Ethnopharmacol,2018,2017/09/09,,,10.1016/j.jep.2017.08.041
34759954,A Pan-Cancer Analysis of Transcriptome and Survival Reveals Prognostic Differentially Expressed LncRNAs and Predicts Novel Drugs for Glioblastoma Multiforme Therapy,"Zhao R, Sa X, Ouyang N, Zhang H, Yang J, Pan J, Gu J, Zhou Y.",Front Genet. 2021 Aug 24;12:723725. doi: 10.3389/fgene.2021.723725. eCollection 2021.,Zhao R,Front Genet,2021,2021/11/11,PMC8575119,,10.3389/fgene.2021.723725
29482137,Multiple grid arrangement improves ligand docking with unknown binding sites: Application to the inverse docking problem,"Ban T, Ohue M, Akiyama Y.",Comput Biol Chem. 2018 Apr;73:139-146. doi: 10.1016/j.compbiolchem.2018.02.008. Epub 2018 Feb 15.,Ban T,Comput Biol Chem,2018,2018/02/27,,,10.1016/j.compbiolchem.2018.02.008
25244771,[Study on prediction of compound-target-disease network of chuanxiong rhizoma based on random forest algorithm],"Yuan J, Li XJ, Chen C, Song XG, Wang SM.",Zhongguo Zhong Yao Za Zhi. 2014 Jun;39(12):2336-40.,Yuan J,Zhongguo Zhong Yao Za Zhi,2014,2014/09/24,,,
34328103,Effects of Naodesheng tablets on amyloid beta-induced dysfunction: A traditional Chinese herbal formula with novel therapeutic potential in Alzheimer's disease revealed by systems pharmacology,"Zhang B, Zhao J, Guo P, Wang Z, Xu L, Liu A, Du G.",Biomed Pharmacother. 2021 Sep;141:111916. doi: 10.1016/j.biopha.2021.111916. Epub 2021 Jul 22.,Zhang B,Biomed Pharmacother,2021,2021/07/30,,,10.1016/j.biopha.2021.111916
26350590,An eigenvalue transformation technique for predicting drug-target interaction,"Kuang Q, Xu X, Li R, Dong Y, Li Y, Huang Z, Li Y, Li M.",Sci Rep. 2015 Sep 9;5:13867. doi: 10.1038/srep13867.,Kuang Q,Sci Rep,2015,2015/09/10,PMC4563363,,10.1038/srep13867
25014227,MPGraph: multi-view penalised graph clustering for predicting drug-target interactions,Li L.,IET Syst Biol. 2014 Apr;8(2):67-73. doi: 10.1049/iet-syb.2013.0040.,Li L,IET Syst Biol,2014,2014/07/12,PMC8687424,,10.1049/iet-syb.2013.0040
33941163,Identification of hot regions in hub protein-protein interactions by clustering and PPRA optimization,"Lin X, Zhang X.",BMC Med Inform Decis Mak. 2021 May 3;21(Suppl 1):143. doi: 10.1186/s12911-020-01350-4.,Lin X,BMC Med Inform Decis Mak,2021,2021/05/04,PMC8094484,,10.1186/s12911-020-01350-4
26824420,ACTP: A webserver for predicting potential targets and relevant pathways of autophagy-modulating compounds,"Xie T, Zhang L, Zhang S, Ouyang L, Cai H, Liu B.",Oncotarget. 2016 Mar 1;7(9):10015-22. doi: 10.18632/oncotarget.7015.,Xie T,Oncotarget,2016,2016/01/30,PMC4891100,,10.18632/oncotarget.7015
27585458,Predicting existing targets for new drugs base on strategies for missing interactions,"Shi JY, Li JX, Lu HM.",BMC Bioinformatics. 2016 Aug 31;17 Suppl 8(Suppl 8):282. doi: 10.1186/s12859-016-1118-2.,Shi JY,BMC Bioinformatics,2016,2016/09/03,PMC5009565,,10.1186/s12859-016-1118-2
29692855,Exploring the Pharmacological Mechanism of Danzhi Xiaoyao Powder on ER-Positive Breast Cancer by a Network Pharmacology Approach,"Yang K, Zeng L, Ge J.",Evid Based Complement Alternat Med. 2018 Mar 5;2018:5059743. doi: 10.1155/2018/5059743. eCollection 2018.,Yang K,Evid Based Complement Alternat Med,2018,2018/04/26,PMC5859839,,10.1155/2018/5059743
33018481,Expanding the Vocabulary of a Protein: Application of Subword Algorithms to Protein Sequence Modelling,"Lennox M, Robertson N, Devereux B.",Annu Int Conf IEEE Eng Med Biol Soc. 2020 Jul;2020:2361-2367. doi: 10.1109/EMBC44109.2020.9176380.,Lennox M,Annu Int Conf IEEE Eng Med Biol Soc,2020,2020/10/06,,,10.1109/EMBC44109.2020.9176380
25075557,"Raman and infrared spectroscopy, DFT calculations, and vibrational assignment of the anticancer agent picoplatin: performance of long-range corrected/hybrid functionals for a platinum(II) complex","Malik M, Wysokiński R, Zierkiewicz W, Helios K, Michalska D.",J Phys Chem A. 2014 Aug 28;118(34):6922-34. doi: 10.1021/jp5056254. Epub 2014 Aug 12.,Malik M,J Phys Chem A,2014,2014/07/31,,,10.1021/jp5056254
24521231,Making sense of large-scale kinase inhibitor bioactivity data sets: a comparative and integrative analysis,"Tang J, Szwajda A, Shakyawar S, Xu T, Hintsanen P, Wennerberg K, Aittokallio T.",J Chem Inf Model. 2014 Mar 24;54(3):735-43. doi: 10.1021/ci400709d. Epub 2014 Feb 21.,Tang J,J Chem Inf Model,2014,2014/02/14,,,10.1021/ci400709d
33859774,Accelerate Training of Restricted Boltzmann Machines via Iterative Conditional Maximum Likelihood Estimation,"Wu M, Luo Y, Liang F.",Stat Interface. 2019;12(3):377-385. doi: 10.4310/18-sii552. Epub 2019 Jun 4.,Wu M,Stat Interface,2019,2021/04/16,PMC8046342,NIHMS1058979,10.4310/18-sii552
30311095,A new chemoinformatics approach with improved strategies for effective predictions of potential drugs,"Hao M, Bryant SH, Wang Y.",J Cheminform. 2018 Oct 11;10(1):50. doi: 10.1186/s13321-018-0303-x.,Hao M,J Cheminform,2018,2018/10/13,PMC6755712,,10.1186/s13321-018-0303-x
26821132,DrugMiner: comparative analysis of machine learning algorithms for prediction of potential druggable proteins,"Jamali AA, Ferdousi R, Razzaghi S, Li J, Safdari R, Ebrahimie E.",Drug Discov Today. 2016 May;21(5):718-24. doi: 10.1016/j.drudis.2016.01.007. Epub 2016 Jan 25.,Jamali AA,Drug Discov Today,2016,2016/01/29,,,10.1016/j.drudis.2016.01.007
32665542,Exploring the SARS-CoV-2 virus-host-drug interactome for drug repurposing,"Sadegh S, Matschinske J, Blumenthal DB, Galindez G, Kacprowski T, List M, Nasirigerdeh R, Oubounyt M, Pichlmair A, Rose TD, Salgado-Albarrán M, Späth J, Stukalov A, Wenke NK, Yuan K, Pauling JK, Baumbach J.",Nat Commun. 2020 Jul 14;11(1):3518. doi: 10.1038/s41467-020-17189-2.,Sadegh S,Nat Commun,2020,2020/07/16,PMC7360763,,10.1038/s41467-020-17189-2
35372666,Seawater fungi-derived compound screening to identify novel small molecules against dengue virus NS5 methyltransferase and NS2B/NS3 protease,"Hasan M, Mia MM, Munna SU, Talha MMH, Das K.",Inform Med Unlocked. 2022;30:100932. doi: 10.1016/j.imu.2022.100932. Epub 2022 Mar 26.,Hasan M,Inform Med Unlocked,2022,2022/04/04,PMC8957362,,10.1016/j.imu.2022.100932
29858896,[Network pharmacology-based study on mechanism of Yuanhu Zhitong Dropping Pills in the treatment of primary dysmenorrhea],"Han YQ, Xu J, Zhang XM, Zhang TJ, Ren YJ, Liu CX.",Yao Xue Xue Bao. 2016 Mar;51(3):380-7.,Han YQ,Yao Xue Xue Bao,2016,2018/06/03,,,
37113249,ACDA: implementation of an augmented drug synergy prediction algorithm,"Domanskyi S, Jocoy EL, Srivastava A, Bult CJ.",Bioinform Adv. 2023 Apr 13;3(1):vbad051. doi: 10.1093/bioadv/vbad051. eCollection 2023.,Domanskyi S,Bioinform Adv,2023,2023/04/28,PMC10125903,,10.1093/bioadv/vbad051
34968763,"Computational identification of Plasmodium falciparum RNA pseudouridylate synthase as a viable drug target, its physicochemical properties, 3D structure prediction and prediction of potential inhibitors","Afolabi R, Chinedu S, Ajamma Y, Adam Y, Koenig R, Adebiyi E.",Infect Genet Evol. 2022 Jan;97:105194. doi: 10.1016/j.meegid.2021.105194. Epub 2021 Dec 27.,Afolabi R,Infect Genet Evol,2022,2021/12/30,,,10.1016/j.meegid.2021.105194
35990491,Unraveling the Tomaralimab Epitope on the Toll-like Receptor 2 via Molecular Dynamics and Deep Learning,"Ahmad B, Choi S.",ACS Omega. 2022 Aug 3;7(32):28226-28237. doi: 10.1021/acsomega.2c02559. eCollection 2022 Aug 16.,Ahmad B,ACS Omega,2022,2022/08/22,PMC9386714,,10.1021/acsomega.2c02559
31976001,Network Pharmacology-Based Investigation into the Mechanisms of Quyushengxin Formula for the Treatment of Ulcerative Colitis,"Yang H, Li Y, Shen S, Gan D, Han C, Wu J, Wang Z.",Evid Based Complement Alternat Med. 2019 Dec 20;2019:7870424. doi: 10.1155/2019/7870424. eCollection 2019.,Yang H,Evid Based Complement Alternat Med,2019,2020/01/25,PMC6949735,,10.1155/2019/7870424
35959347,Antistroke Network Pharmacological Prediction of Xiaoshuan Tongluo Recipe Based on Drug-Target Interaction Based on Deep Learning,Zhou Y.,Comput Math Methods Med. 2022 Aug 2;2022:6095964. doi: 10.1155/2022/6095964. eCollection 2022.,Zhou Y,Comput Math Methods Med,2022,2022/08/12,PMC9363221,,10.1155/2022/6095964
34731470,Predicting Residence Time of GPCR Ligands with Machine Learning,"Potterton A, Heifetz A, Townsend-Nicholson A.",Methods Mol Biol. 2022;2390:191-205. doi: 10.1007/978-1-0716-1787-8_8.,Potterton A,Methods Mol Biol,2022,2021/11/03,,,10.1007/978-1-0716-1787-8_8
34590762,Structure-based design of a photoswitchable affibody scaffold,"Woloschuk RM, Reed PMM, Jaikaran ASI, Demmans KZ, Youn J, Kanelis V, Uppalapati M, Woolley GA.",Protein Sci. 2021 Dec;30(12):2359-2372. doi: 10.1002/pro.4196. Epub 2021 Oct 9.,Woloschuk RM,Protein Sci,2021,2021/09/30,PMC8605370,,10.1002/pro.4196
31056508,On the Unreported-Profile-is-Negative Assumption for Predictive Cheminformatics,"Lan C, Chandrasekaran SN, Huan J.",IEEE/ACM Trans Comput Biol Bioinform. 2020 Jul-Aug;17(4):1352-1363. doi: 10.1109/TCBB.2019.2913855. Epub 2019 Apr 30.,Lan C,IEEE/ACM Trans Comput Biol Bioinform,2020,2019/05/07,,,10.1109/TCBB.2019.2913855
32109994,Anti-Inflammatory Activity of Sanjie Zhentong Capsule Assessed By Network Pharmacology Analysis of Adenomyosis Treatment,"Du L, Du DH, Chen B, Ding Y, Zhang T, Xiao W.",Drug Des Devel Ther. 2020 Feb 20;14:697-713. doi: 10.2147/DDDT.S228721. eCollection 2020.,Du L,Drug Des Devel Ther,2020,2020/02/29,PMC7039068,,10.2147/DDDT.S228721
37105108,DTSEA: A network-based drug target set enrichment analysis method for drug repurposing against COVID-19,"Su Y, Wu J, Li X, Li J, Zhao X, Pan B, Huang J, Kong Q, Han J.",Comput Biol Med. 2023 Jun;159:106969. doi: 10.1016/j.compbiomed.2023.106969. Epub 2023 Apr 21.,Su Y,Comput Biol Med,2023,2023/04/27,PMC10121077,,10.1016/j.compbiomed.2023.106969
30837876,A Comparative Study of Cluster Detection Algorithms in Protein-Protein Interaction for Drug Target Discovery and Drug Repurposing,"Ma J, Wang J, Ghoraie LS, Men X, Haibe-Kains B, Dai P.",Front Pharmacol. 2019 Feb 19;10:109. doi: 10.3389/fphar.2019.00109. eCollection 2019.,Ma J,Front Pharmacol,2019,2019/03/07,PMC6389713,,10.3389/fphar.2019.00109
31369833,Hyphenated chromatography detection and compound-target-disease investigation on herb-pair Chuanxiong Rhizoma - Xiangfu Rhizoma,"Zhou Y, Yan P, He M, Hong L, Cao Q.",J Ethnopharmacol. 2019 Oct 28;243:112125. doi: 10.1016/j.jep.2019.112125. Epub 2019 Jul 29.,Zhou Y,J Ethnopharmacol,2019,2019/08/02,,,10.1016/j.jep.2019.112125
35510607,"Development of novel monoamine oxidase B (MAO-B) inhibitors by combined application of docking-based alignment, 3D-QSAR, ADMET prediction, molecular dynamics simulation, and MM_GBSA binding free energy","El Aissouq A, Chedadi O, Bouachrine M, Ouammou A, Khalil F.",J Biomol Struct Dyn. 2023 Jul;41(10):4667-4680. doi: 10.1080/07391102.2022.2071341. Epub 2022 May 5.,El Aissouq A,J Biomol Struct Dyn,2023,2022/05/05,,,10.1080/07391102.2022.2071341
